,Model,Price,Year,Miles,Fuel,Transmission,EngineSize
0,3 Series,27871,2021,23071,Petrol,Semiauto,2.0
1,3 Series,27871,2021,23071,Petrol,Semiauto,2.0
2,3 Series,27871,2021,23071,Petrol,Semiauto,2.0
3,3 Series,27871,2021,23071,Petrol,Semiauto,2.0
4,3 Series,1795,2007,126000,Petrol,Manual,2.0
5,3 Series,1795,2007,126000,Petrol,Manual,2.0
6,X1,1800,2007,135000,Diesel,Manual,1.5
7,3 Series,1895,2005,100000,Petrol,Manual,2.0
8,3 Series,1895,2005,100000,Petrol,Manual,2.0
9,3 Series,1995,2007,160000,Petrol,Manual,2.0
10,3 Series,1995,2007,160000,Petrol,Manual,2.0
11,3 Series,1995,2007,160000,Petrol,Manual,2.0
12,3 Series,1995,2009,126000,Diesel,Manual,2.0
13,3 Series,1995,2009,126000,Diesel,Manual,2.0
14,3 Series,1995,2010,77847,Petrol,Manual,3.0
15,3 Series,1995,2006,116148,Petrol,Manual,3.0
16,3 Series,1995,2006,116148,Petrol,Manual,3.0
17,3 Series,1995,2006,94000,Petrol,Manual,3.0
18,4 Series,2000,2009,112000,Petrol,Manual,2.0
19,5 Series,2000,2005,104000,Petrol,Manual,2.0
20,1 Series,2287,2006,114960,Diesel,Manual,1.6
21,5 Series,2289,2009,139000,Diesel,Manual,2.0
22,3 Series,2345,2005,81000,Petrol,Manual,2.0
23,3 Series,2345,2005,81000,Petrol,Manual,2.0
24,3 Series,2395,2008,98626,Petrol,Manual,2.0
25,3 Series,2395,2008,98626,Petrol,Manual,2.0
26,3 Series,2395,2006,70872,Diesel,Automatic,2.0
27,4 Series,2400,2005,106800,Petrol,Automatic,2.0
28,3 Series,2490,2007,154288,Diesel,Manual,3.0
29,X3,2490,2006,125000,Diesel,Manual,3.0
30,X3,2495,2005,106784,Petrol,Manual,2.0
31,3 Series,2495,2005,204000,Diesel,Manual,2.0
32,3 Series,2495,2005,204000,Diesel,Manual,2.0
33,X1,1795,2007,126000,Petrol,Manual,1.5
34,3 Series,1800,2007,135000,Diesel,Manual,2.0
35,3 Series,1995,2009,126000,Diesel,Manual,3.0
36,4 Series,1995,2006,94000,Petrol,Manual,2.0
37,5 Series,2000,2009,112000,Petrol,Manual,2.0
38,1 Series,2000,2005,104000,Petrol,Manual,1.6
39,5 Series,2287,2006,114960,Diesel,Manual,2.0
40,3 Series,2289,2009,139000,Diesel,Manual,2.0
41,4 Series,2395,2006,70872,Diesel,Automatic,2.0
42,3 Series,2400,2005,106800,Petrol,Automatic,3.0
43,X3,2490,2007,154288,Diesel,Manual,3.0
44,X3,2490,2006,125000,Diesel,Manual,2.0
45,3 Series,2495,2005,106784,Petrol,Manual,2.0
46,3 Series,2499,2007,135209,Diesel,Manual,2.0
47,3 Series,2499,2007,135209,Diesel,Manual,2.0
48,3 Series,2499,2007,123000,Diesel,Manual,2.0
49,3 Series,2499,2007,123000,Diesel,Manual,2.0
50,3 Series,2500,2004,61000,Petrol,Manual,2.0
51,3 Series,2500,2010,144000,Diesel,Manual,3.0
52,3 Series,2790,2008,161795,Diesel,Manual,3.0
53,3 Series,2795,2004,70000,Diesel,Manual,3.0
54,4 Series,2895,2011,131000,Diesel,Automatic,2.0
55,5 Series,2900,2010,97321,Diesel,Manual,2.0
56,1 Series,2990,2008,138300,Diesel,Manual,1.6
57,5 Series,2995,2006,97000,Petrol,Automatic,2.0
58,3 Series,2995,2005,84000,Petrol,Manual,2.0
59,3 Series,2995,2005,133096,Petrol,Automatic,2.0
60,3 Series,2995,2008,149200,Diesel,Manual,2.0
61,4 Series,2995,2010,119000,Diesel,Manual,2.0
62,3 Series,2995,2007,79000,Diesel,Manual,3.0
63,X3,2999,2007,115708,Diesel,Manual,3.0
64,X3,2999,2007,98699,Petrol,Manual,2.0
65,3 Series,2999,2007,85000,Petrol,Manual,2.0
66,3 Series,2999,2007,85000,Petrol,Manual,2.0
67,3 Series,3000,2005,50000,Petrol,Automatic,2.0
68,X1,3150,2013,144808,Diesel,Manual,1.5
69,3 Series,3199,2011,127000,Diesel,Manual,2.0
70,3 Series,3199,2011,127000,Diesel,Manual,2.0
71,3 Series,3295,2011,139000,Diesel,Manual,2.0
72,3 Series,3390,2010,100896,Diesel,Manual,2.0
73,3 Series,3395,2008,155956,Diesel,Manual,3.0
74,3 Series,3480,2009,93695,Diesel,Manual,3.0
75,3 Series,3480,2009,93695,Diesel,Manual,3.0
76,3 Series,3489,2013,146000,Diesel,Manual,3.0
77,4 Series,3490,2009,127352,Diesel,Automatic,2.0
78,5 Series,3495,2007,115000,Petrol,Automatic,2.0
79,1 Series,3495,2010,130000,Diesel,Manual,1.6
80,5 Series,3495,2009,135684,Diesel,Manual,2.0
81,3 Series,3495,2008,87167,Petrol,Manual,2.0
82,3 Series,3499,2011,96548,Petrol,Manual,2.0
84,4 Series,3595,2009,85664,Petrol,Manual,2.0
85,3 Series,3690,2008,137000,Diesel,Automatic,3.0
86,X3,3690,2012,159900,Diesel,Manual,3.0
87,X3,3690,2010,110028,Diesel,Automatic,2.0
88,3 Series,3695,2008,115000,Diesel,Automatic,2.0
89,3 Series,3695,2009,108839,Diesel,Manual,2.0
90,X1,3795,2009,77868,Diesel,Manual,1.5
91,3 Series,3830,2010,131498,Diesel,Manual,2.0
